query,query_clean,extracted_product_type,extracted_print_design,extracted_colors,extracted_sizes,extracted_dimensions,extracted_brands,extracted_device_models,extracted_materials,extracted_audience,extracted_power_source,extracted_categories,extracted_is_replica,n_attributes
контейнер для хранения 40 30 пластик,контейнер для хранения 40 30 пластик,['контейнер'],[],[],['40'],[],[],[],['пластик'],[],[],['kids'],[],4
наушники realme t310,наушники realme t310,['наушники'],[],[],[],[],['realme'],[],[],[],[],['electronics'],[],3
кружка детская с принтом,кружка детская с принтом,['посуда'],[],[],[],[],[],[],[],['kids'],[],['dishes'],[],3
сладков рассказ,сладков рассказ,[],[],[],[],[],[],[],[],[],[],['books'],[],1
аргивит классик таблетки,аргивит классик таблетки,[],[],[],[],[],[],[],[],[],[],['supplements'],[],1
кальциевая лампа со штативом,кальциевая лампа со штативом,['лампа'],[],[],[],[],[],[],[],[],[],['construction'],[],2
матрац бельмарко 160 70,матрац бельмарко 160 70,[],[],[],[],"[{'width': 160, 'height': 70, 'unit': 'cm', 'type': 'textile'}]",[],[],[],[],[],['construction'],[],2
член с трусами,член с трусами,[],[],[],[],[],[],[],[],[],[],['dishes'],[],1
приманки резиновые на форель,приманки резиновые на форель,[],[],[],[],[],[],[],[],[],[],[],[],0
для стиков iqos,для стиков iqos,[],[],[],[],[],[],[],[],[],[],['hobbies'],[],1
носки для малыша с бантиком,носки для малыша с бантиком,['носки'],[],[],[],[],[],[],[],['kids'],[],['clothing'],[],3
алиса лайт 2 подставка,алиса лайт 2 подставка,[],[],[],[],[],[],[],[],[],[],['games'],[],1
решетка из нержавейки,решетка из нержавейки,[],[],[],[],[],[],[],[],[],[],['dishes'],[],1
дженга пьяная,дженга пьяная,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
сабвуфер аура,сабвуфер аура,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
мини-печи,мини-печи,[],[],[],[],[],[],[],[],[],[],['kids'],[],1
кронштейн для кондиционера из нержавеющей стали,кронштейн для кондиционера из нержавеющей стали,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
стартер для скутера,стартер для скутера,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
комод хелен,комод хелен,['комод'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
игрушка надувная котик,игрушка надувная котик,['игрушка'],[],[],[],[],[],[],[],[],[],['kids'],[],2
полозья для ящиков 350 мм с доводчиком,полозья для ящиков 350 мм с доводчиком,[],[],[],[],"[{'value': 350.0, 'unit': 'mm', 'type': 'dimension'}]",[],[],[],[],[],['garden'],[],2
журнальный столик фигурный,журнальный столик фигурный,['стол'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
москитная сетка в виде двери,москитная сетка в виде двери,['дверь'],[],[],[],[],[],[],[],[],[],['home_decor'],[],2
щетки для унитаза с длинной ручкой,щетки для унитаза с длинной ручкой,[],[],[],[],[],[],[],[],[],[],['stationery'],[],1
фискальный накопитель 36 месяцев с офд,фискальный накопитель 36 месяцев с офд,[],[],[],['36'],[],[],[],[],[],[],['garden'],[],2
подарочный набор элитного чая,подарочный набор элитного чая,[],[],[],[],[],[],[],[],[],[],['dishes'],[],1
переключатель проходной шнайдер,переключатель проходной шнайдер,[],[],[],[],[],[],[],[],[],[],['auto'],[],1
язык цветов,язык цветов,[],[],[],[],[],[],[],[],[],[],['beauty'],[],1
